source,target
1755,5646
1762,38919
1768,34138
1777,34578
1778,18993869
1781,34630
1781,180582
1781,23235
1786,21170
1787,14279
1791,3414021
1793,34648
1793,19876
1794,34703
1797,3383
1805,102695
1814,34668
1822,18617142
1826,34618
1827,34660
1827,26552
1837,17524
1844,72504
1851,8815
1853,45715
1862,36372
1862,17895
1871,8914
1876,36083
1879,48436
1890,8569916
1897,28267
1911,13751
1919,129697
1921,14579
1923,34931
1925,78739
1930,53430
1931,41822
1940,34864
1944,100791
1955,54257
1963,5962
1970,1334
1974,3986
1975,34755
1980,4800
1988,19201
1990,21504235
1994,2883
1998,32031
2009,1170
2011,113180
2020,37548
2029,6532
2037,145967
2041,81927
2043,43506
2043,53487
2062,38705
2065,152708
2075,34553
2076,1216
2082,11522
2085,159244
2099,146426
2103,21211
2108,28395
2116,20065222
2125,51203
2128,3861
2134,8551
2139,76632
2140,4173
2142,6874
2148,19278686
2161,23939
2166,34557
2174,34658
2178,5647
2185,1436
2187,1904053
2192,1491
2194,34600
2195,34711
2196,38680
2196,34598
2196,16608
2201,5166
2210,71792
2219,11523
2224,19283852
2227,13692155
2238,39902
2246,22071
2264,145827
2273,34658
2279,1020
2286,29970
2303,59412
2313,133392
2315,34601
2315,30395
2326,34624
2328,9334
2339,39889916
2345,40007
2345,35059
2345,36170
2345,157927
2357,34556
2363,25458
2380,14617
2393,29831
2395,16193
2400,50595
2403,25405
2414,10553
2418,34661
2418,20502020
2428,155414
2440,2402
2447,58489
2459,32432
2467,2466
2482,67988
2483,31717
2499,17739
2503,26230922
2514,21492837
2543,82288
2553,15651
2564,34951
2564,7920751
2577,65806
2593,10166
2594,34138
2607,8504
2612,35903
2619,54061
2623,38881
2627,40584
2631,34687
2634,1328
2639,35801
2640,35819
2645,18945005
2662,51913
2667,19180547
2676,38264
2682,35518
2683,15786
2691,26994
2700,52520
2703,42880
2709,34605
2713,33545
2732,104140
2733,19344
2734,34659
2734,43125
2734,3434750
2735,13316
2740,12490
2753,34846
2763,1778
2771,20647050
2785,34790
2787,8912
2813,34740
2822,21704
2828,35020
2847,34670
2856,3966054
2861,27718
2870,99277
2883,13191
2900,17727
2905,18574
2909,40845
2923,24107
2934,5042765
2940,33175
2948,50650
2961,30606
2974,45063
2975,50122
2983,31717
3003,36934
3014,6015
3022,10624594
3027,37753
3035,34551
3038,36586
3051,34769
3057,34708
3067,68915
3070,34900
3071,29402
3075,102910
3080,35522
3080,8087628
3080,25458
3083,66159
3090,13046
3110,21347364
3116,25996
3124,17276
3138,34548
3146,18933313
3160,18716923
3165,34655
3180,50650
3201,5042951
3217,28631
3229,86661
3240,25130
3253,27698
3266,3080
3295,3957
3335,76972
3338,15787
3343,9317
3343,72760
3352,3434750
3354,35845
3354,158966
3354,164114
3356,1004
3356,22572
3360,18839
3363,147575
3363,30075
3370,59497
3378,70989
3378,25602
3383,34553
3383,141233
3386,19006
3390,176326
3392,34767
3395,37966
3401,62373
3402,4099
3410,46338
3410,19337310
3415,6036
3415,36857
3422,5367
3430,40800
3441,32427
3453,34548
3457,18950915
3462,18951905
3463,10845
3470,3680
3565,3459
3612,34550
3616,66241
3633,38055
3633,34121
3638,23420
3668,31898
3677,19127
3695,25645
3708,159475
3712,5323
3719,19006
3728,60702
3736,14155
3746,34670
3746,33175
3755,5659
3755,22376
3756,70356
3756,147853
3757,12581
3757,34197
3762,18435
3764,7688189
3765,150206
3772,166784
3777,14653
3785,8388
3796,11388
3796,10188
3821,3364
3833,58533
3840,58348
3851,3850
3856,2128
3856,645042
3858,34775
3858,34756
3858,18213
3859,34748
3859,20152
3860,23489161
3861,64777
3863,6654
3873,56433
3912,1006
3912,34491
3921,21531764
3934,34664
3943,185427
3954,12266
3957,20637
3959,23569
3970,51215
3975,28175
3981,5360
3985,32190
3986,61344
3992,34938
3996,43354034
3997,18842168
4009,22984
4012,738
4012,12108
4012,21241
4015,34550
4016,53740
4031,100509
4036,103363
4050,4508
4054,485395
4057,34866
4063,18013
4069,13530298
4078,34575
4078,61416
4078,43088
4092,5134
4099,3997
4101,3989
4111,52778
4116,74641
4124,6331
4146,69203
4149,13275
4163,34659
4165,3970
4170,9317
4179,6340
4184,4689264
4195,8452
4203,48274
4210,9236
4224,7609513
4230,23634
4240,1143
4243,22576
4251,21579
4261,30439
4284,9239
4292,12266
4298,19759
4312,67762
4314,13869
4319,6829203
4326,19344654
4327,4343
4333,13876
4339,34713
4340,34754
4345,28487
4361,34671
4364,15088
4373,21347364
4376,27644
4379,5943
4381,4377
4384,34612
4384,22347
4388,28329
4392,57008
4400,4402
4402,36984
4408,34748
4424,32100
4443,31566384
4445,32628
4454,13968
4466,74130
4474,3532541
4481,52847
4487,32623
4492,19323
4493,6355
4493,14029
4493,90347
4495,82811
4501,40817806
4503,46674
4512,72760
4523,4531
4527,4764461
4536,11867
4543,6102
4544,149237
4545,168077
4551,2483
4554,5187
4565,19127
4572,9316
4582,34981
4594,15076
4608,154067
4615,13854
4622,31139
4640,8840
4649,8388
4650,28758
4656,10110
4660,24417
4664,40634
4668,5308
4675,35502
4681,3366
4692,15919
4702,14653
4717,5326
4721,44554
4721,21383
4721,34414
4737,6886
4748,31247
4756,20586
4770,16881
4789,35516
4794,53160
4802,47700
4817,156968
4821,34244
4829,187264
4829,27289
4836,34573
4849,34641
4854,34594
4860,79752
4862,20611562
4869,5665
4876,153326
4878,14708
4880,176395
4890,11921
4901,22433
4905,34746
4910,13088
4921,3460
4925,25011
4940,26795
4941,22570
4944,14563
4950,4298
4953,34558
4965,4098
4978,25595604
4997,34632
5009,19374
5030,8504
5033,77003
5039,10577
5047,13088
5050,9316
5134,34633
5134,18234
5142,34630
5163,7279897
5168,47505
5177,15928
5180,67211
5192,17946
5194,34558
5194,7129693
5197,3434750
5211,92912
5211,21491730
5211,7515849
5213,25122906
5218,9828
5221,46087
5224,61702
5231,20913273
5247,3352
5247,78598
5248,26779
5253,20958
5254,29813
5261,5648
5267,153797
5270,33555
5282,14532
5295,152625
5299,673
5299,11524
5299,102193
5300,4487495
5309,15305
5310,31107
5314,18011
5321,5187
5321,26830
5322,32927
5323,187442
5329,92919
5333,21148
5337,27421
5355,13287
5360,29947
5370,19376
5375,14836
5377,34341
5387,23001
5390,19159
5391,19012
5399,34784
5399,21211
5405,34553
5405,18714222
5405,25391
5407,55175
5407,18426568
5407,5791492
5411,169720
5416,177784
5420,11867
5428,31769
5437,34598
5447,5456
5460,9696
5462,24092
5471,3434750
5479,5478
5483,37977
5489,34548
5489,22949
5490,51487
5500,4689264
5510,23070
5530,4689264
5530,142504
5546,5541
5565,21649
5574,9317
5577,1541
5578,52136
5584,34845
5588,5042481
5598,5593
5615,43617
5623,24849
5626,27802
5634,18938115
5635,36298
5635,12108
5636,25416893
5641,24021
5644,76366
5646,16972981
5648,65358
5649,66068
5652,23536338
5658,163629
5659,22305
5664,27834
5665,5500
5665,12343
5665,21255
5666,15573
5667,59444
5667,34341
5668,60015
5669,4526
5669,181554
5672,4115
5672,22054
5685,689
5691,17730
5696,19725260
5702,16766
5704,34731
5708,7485
5717,26667
5735,92357
5739,25717
5750,804616
5759,80842
5760,5334607
5760,170131
5766,22543
5770,18933277
5770,9356
5770,17771
5770,23440
5770,11125639
5776,19321517
5783,18831
5786,8095
5796,21504235
5813,23416994
5820,894
5826,5759
5828,45503
5836,32374
5839,5791492
5844,9334
5851,5321
5863,9476
5865,15573
5869,60294
5873,15844
5879,5910
5879,25825
5884,15614
5902,349303
5903,23612
5906,18947
5910,15777
5920,4647
5926,6011
5928,28226
5930,54025
5933,34646
5935,3978
5942,129486
5943,86364
5945,64290
5951,93128
5956,23416994
5961,24984
5962,184642
5976,19301
5987,20381
6000,24761
6011,6937
6016,89077
6021,53541
6024,106436
6036,23996
6041,102637
6041,89662
6042,5826
6045,161423
6047,57551
6058,23634
6066,35518
6085,20018
6095,140790
6098,9674
6100,22054
6113,18884
6122,27631
6125,19716
6134,14532
6138,6173
6141,3850
6176,34615
6183,30528
6188,5405
6195,34675
6197,19331
6198,5551
6198,188171
6198,19599929
6198,34415
6208,38627
6220,161261
6228,8166
6231,18985
6236,17575
6237,153568
6237,24797
6249,85522
6256,4032
6258,5405
6260,34618
6267,7299
6272,138436
6280,23470
6287,3080
6287,47946
6287,102797
6287,23564616
6287,55857
6287,85232
6287,8638634
6287,4913064
6287,22936
6287,26786
6287,42298
6287,33056
6290,44758
6295,56434
6310,40597
6312,171104
6319,20914042
6325,9767
6329,23634
6340,4179
6354,34769
6357,168212
6361,1979
6362,63025
6367,28017
6417,23979
6423,20647050
6434,34633
6438,15188
6443,14900
6449,19022
6452,69282
6459,27978
6469,34595
6510,7878457
6526,1544
6533,27069
6546,6130
6548,34768
6555,31204
6566,34776
6585,34606
6590,57684
6597,4689264
6604,22497
6612,29142
6621,47700
6627,23715667
6631,15304
6643,18723138
6650,39540
6650,34955
6650,34635
6650,6260
6650,12499
6650,42823962
6650,29603
6653,2162
6654,34601
6656,6182
6660,18933632
6669,34703
6672,27669
6677,15626
6689,8555
6697,7401
6700,37977
6715,34724
6725,34691
6725,13894
6728,16418
6742,30108
6747,75258
6761,76429
6769,21291954
6773,18974125
6778,36160
6781,23634
6799,173887
6814,31717
6822,10597
6824,38082
6829,33173
6836,26096
6849,34787
6852,34754
6857,34064
6868,50798
6880,34846
6886,34767
6886,10882
6886,70730
6896,37329
6896,9476
6896,43972
6907,34258
6916,15585
6924,146728
6930,34628
6941,34674
6949,179962
6962,35323
6966,20329
6972,28492
6984,32293
6997,24561
7000,145623
7018,3390
7023,16949861
7038,18957
7045,34548
7056,74024
7066,34689
7077,158844
7089,26714
7110,11014498
7122,28894
7145,141265
7161,12582
7172,99714
7175,34847
7175,28021
7184,18192
7193,144569
7201,5254
7214,22058
7232,14191
7236,45745
7245,1715
7255,7885
7266,45189
7272,30843
7294,34558
7299,6267
7310,3434750
7316,65827
7335,26783
7345,6231
7355,22065
7375,14084
7382,71095
7388,28622
7394,3434750
7401,13645
7406,177243
7426,5042916
7437,34763
7446,30677
7463,34615
7471,39539
7473,35502
7482,39661
7489,5323
7501,146081
7502,25814008
7519,19447
7525,645042
7527,164694
7527,31471
7538,38838
7546,5119376
7554,24931
7572,18839
7577,14115
7581,34677
7587,3372377
7595,21854
7597,34198
7604,19283284
7616,26463
7626,18838
7630,36049
7642,34760
7658,66419
7668,84250
7672,27532
7676,16756
7689,15872
7701,6121
7706,29181
7708,11311
7712,63972
7723,49492
7729,16556
7739,13711
7740,25072
7765,38953
7774,24113
7791,25536
7811,34798
7819,4576465
7824,105900
7832,60294
7839,8603
7851,4153562
7886,99962
7893,34751
7903,99491
7923,18951262
7925,11958
7930,5187
7931,20518
7940,46925
7950,38490
7952,35502
7954,148058
7955,62610
7959,44720
7964,4431
7966,12509
7976,32187580
7977,15693
7978,21939
7989,23534170
8007,27631
8013,25663206
8022,34420
8024,25504
8026,15812
8032,11867
8035,76972
8039,15251
8045,19053
8059,56630
8063,34847
8072,14613
8078,10192
8080,36047
8080,51187
8080,34796
8080,36722
8080,34824
8080,35042
8080,35174
8082,9282173
8088,17562
8091,20949522
8095,44263
8100,53091
8113,6660
8122,22312
8124,69398
8133,34978
8137,34578
8137,157511
8141,153248
8143,21445
8144,34598
8144,17416221
8145,34691
8145,21632
8166,37978
8169,21967242
8181,25175
8182,5042481
8182,21133
8187,26703
8192,23627
8194,34724
8194,38298
8198,34712
8198,8452
8198,162136
8200,34680
8200,3755
8200,17746
8200,28144
8204,38694
8204,307
8204,19552
8205,11006
8209,34654
8209,161366
8219,35514
8219,1005
8219,22413
8227,34595
8230,13225
8237,19444
8240,3434750
8246,34557
8249,66664
8253,43024
8258,83769
8270,36064
8270,34752
8270,162047
8271,2393
8280,11887
8299,35945
8300,29837
8305,736
8309,14170
8322,35018
8322,160911
8322,23056
8334,36185
8334,4689264
8334,26716
8340,34548
8343,180416
8352,34844
8352,4243
8352,17416221
8353,5635
8354,36116
8354,34749
8354,25955086
8355,34701
8355,10845
8356,34793
8356,177310
8357,34617
8357,13316
8359,34845
8359,14750344
8359,150246
8360,34636
8360,19344
8363,30511
8372,31717
8377,8745
8386,28767
8396,34746
8396,5405
8396,17416221
8400,34411
8418,34787
8425,34847
8432,34601
8439,13972
8452,34794
8452,9316
8453,1538
8459,11119
8466,16061
8472,34573
8474,24150
8478,21566
8487,4226
8494,34612
8501,48211
8506,97025
8518,9239
8520,25391
8522,57070
8527,46439
8539,55382
8544,81233
8550,7890
8560,34035
8577,34980
8580,61107
8586,19159
8589,34911
8589,7928
8589,26779
8599,15613
8605,32611
8615,62891
8618,19349
8629,3343
8632,19522
8633,34754
8633,70889
8641,20621
8645,72180
8653,34676
8663,5180
8676,20062
8677,34751
8677,9282173
8683,174345
8687,76165
8693,38688
8702,11393
8714,34789
8714,974
8714,84493
8724,9476
8728,34980
8728,12750
8733,53712
8743,33149
8756,84077
8759,18890
8774,5042481
8781,34677
8786,34847
8786,13736167
8795,66968
8811,185427
8824,51115
8833,61188
8846,145159
8848,34753
8848,25123
8849,34751
8849,21445
8850,34606
8850,17103
8851,34769
8851,149441
8851,3434750
8852,34647
8852,27954
8860,18839
8877,23416994
8881,23315
8887,24104095
8893,34631
8893,16521
8894,12388
8905,13257
8914,8087628
8930,38443676
8945,34669
8960,23047
8972,25456
8994,31888
9003,8633
9015,12439
9025,99583
9025,5211
9025,14410
9025,90213
9025,59489
9025,66001
9029,19179331
9041,13263
9048,20913980
9058,6742
9067,19727024
9075,22349
9090,52874
9101,28313
9105,18598186
9119,32211
9130,34847
9137,22326
9146,6235
9163,18618239
9222,25346998
9223,43476
9228,10918072
9228,9770
9228,16619
9228,145823
9228,48510
9230,14587
9236,1911
9236,23961
9239,3386
9239,19211
9241,20621
9248,21555729
9251,76653
9253,308
9256,18902
9257,92336
9259,21474
9264,48239
9269,34631
9269,76762
9269,12674
9269,101186
9269,26817
9277,82365
9282,22218
9288,15988
9301,21555729
9311,65852
9316,13530298
9317,9577
9317,31717
9324,45568
9325,19348
9334,34658
9339,16075
9349,29402
9361,13873779
9371,5042481
9377,13306
9384,17238590
9391,9317
9395,18524
9402,13873779
9418,34621
9420,172707
9426,42986
9428,44203
9428,3434750
9450,27007
9464,8569916
9472,36163
9472,27533
9478,21971
9483,5187
9499,35503
9502,6121
9506,47751
9509,31863
9510,18439
9510,30629
9516,34630
9531,5323
9532,18616290
9536,32359
9549,14109
9555,18967
9569,14828
9580,76972
9587,26811621
9593,16340
9602,144696
9606,23366955
9618,172333
9621,689
9632,18955999
9640,27692
9649,20431
9658,62233
9663,97840
9663,65919
9668,22469
9677,9028799
9679,81271
9692,29174999
9705,18940550
9707,17561
9709,15982
9711,25179
9714,59378
9717,113620
9731,38653
9736,1881
9739,9738
9751,16045
9760,5943
9762,145851
9764,51074
9770,53306
9776,4181
9790,14539
9804,1372
9810,35242
9813,61990
9824,32927
9835,148628
9845,95154
9857,113058
9882,15368
9895,37401
9897,25414
9904,18826090
9917,34748
9917,15848
9920,30011
9927,23634
9937,17867
9942,19848
9948,12521
9954,34726
9954,150139
9955,39006
9962,36050
9967,33583
9977,12067
9992,698
9992,76972
9992,15573
9992,21649
9992,27451
9995,19344654
10002,22446
10006,28448
10018,3434750
10026,5865
10029,19554533
10030,170653
10045,12806
10048,20374
10049,27614
10067,36660
10076,44730
10085,83895
10093,222825
10101,3354
10104,34637
10110,35069
10110,39948
10110,35017
10110,35768
10110,35332
10110,25890428
10116,32347
10120,53837
10128,10930
10133,35799
10141,3080
10148,67410
10152,14187
10160,11884
10166,35502
10174,7925
10183,45275
10186,14117
10192,57076
10213,32237
10225,61891
10231,49945
10238,30912
10245,15862
10258,52847
10264,14532
10268,32494
10273,5131
10287,34631
10292,31717
10303,902
10305,1904053
10312,4862
10322,35502
10331,98171
10331,98382
10336,27112
10344,62485
10344,31516
10354,36207
10363,80781
10370,25814008
10377,10376
10385,34658
10393,35072
10404,24545
10418,35722
10430,36233
10440,15573
10465,15573
10477,21936
10482,42874
10490,15573
10501,4153562
10508,10110
10511,48392
10553,81890
10568,143183
10574,18823
10577,25762
10577,89191
10596,11867
10597,17771
10603,60294
10612,34615
10623,34613
10623,52042
10623,96504
10623,33278
10630,26255342
10635,18938683
10646,5355
10671,34613
10672,34553
10674,18967
10678,3845
10678,83938
10678,49955
10678,47643
10678,79474
10683,15864
10690,7550182
10699,911
10707,34635
10711,10577
10711,33294
10723,50116
10737,10741
10762,698
10770,808
10775,26683
10778,168242
10782,179757
10786,169202
10787,44463
10799,10796
10802,27641
10815,14532
10821,13606
10823,60894
10831,8123
10835,26341
10843,59249
10845,11170
10846,34646
10846,34601
10846,21555729
10847,19280644
10854,34865
10854,69783
10854,18564164
10858,15848
10859,21148
10870,1019
10875,18949347
10878,85451
10880,30332
10882,34631
10882,11020
10882,22332
10885,3343
10890,9532
10891,30595
10897,14312
10911,6246
10923,5857
10929,25676
10930,34755
10930,15786
10931,187337
10936,15786
10939,25717
10957,5405
10965,28145
10975,6099
10979,15813
10989,34629
10991,34659
10991,15642
10992,9474
11001,19344654
11004,19447
11006,34548
11006,17461
11007,19283920
11007,18826090
11007,21445
11008,34954
11008,771
11008,15654
11008,185596
11009,34749
11009,13445
11009,147591
11010,34750
11010,23751607
11010,34399
11017,179375
11020,34939
11020,100394
11020,24113
11021,34594
11021,5771
11021,29773
11024,32693
11025,34750
11025,15642
11025,32927
11026,21642
11033,34003
11038,88028
11040,26716
11042,129229
11054,21212
11061,9023
11063,34717
11063,13373
11064,19541
11101,32977
11114,8087628
11119,34983
11119,18951490
11119,19390
11122,47332406
11127,21810686
11141,19283873
11141,15791
11145,146303
11158,35816
11158,18948337
11158,15785
11158,34244
11164,34648
11164,86346
11164,32759
11170,34675
11170,5278
11170,23056
11180,185427
11182,175142
11184,34705
11184,34616
11184,34640
11184,8182
11184,16800
11184,26779
11185,162025
11188,34697
11223,170779
11227,38629
11227,28923
11231,181293
11237,34794
11237,34631
11237,34636
11240,19159508
11246,37885
11254,74328
11263,34846
11283,75802
11286,18967
11296,56558
11299,6710
11303,164160
11310,34867
11310,10239
11310,25671
11311,34624
11311,144010
11315,182532
11319,70598
11322,34624
11322,15651
11322,53825
11323,34705
11323,5334607
11323,168604
11350,149327
11359,34708
11359,168303
11359,63689
11360,34652
11360,1195616
11360,155915
11361,35068
11361,2406
11361,1645518
11362,34701
11362,140875
11362,27655
11363,19283852
11363,55285
11363,27885
11369,60164
11370,26667
11379,14631
11380,28320
11391,36045
11399,39995
11408,179242
11424,5323
11429,14059
11433,173460
11433,46203
11446,28373
11454,34990
11461,16289
11466,34614
11469,12341
11491,20012109
11498,11448
11512,775
11517,738
11517,9356
11517,19117
11517,27318
11522,26220236
11523,19773
11525,38683
11526,12396
11535,857
11539,36273
11539,36701
11545,65886
11552,34844
11558,156400
11579,8912
11585,5058739
11593,25532
11615,23666
11627,6462
11632,34691
11638,5042765
11642,48442
11652,77940
11661,18994221
11673,8166
11681,20862
11690,34557
11698,918
11707,8677
11720,34776
11724,34601
11734,34675
11749,3986
11758,9789
11763,28191
11774,32567
11778,34665
11783,775
11787,18110
11797,11254
11803,35854
11809,23627
11815,32762
11826,45468
11856,3340
11861,40869264
11866,22498
11867,21209639
11867,17914
11870,53481
11875,173236
11878,55212
11883,21704
11884,17675
11888,51273
11894,3383
11921,22625
11930,4170
11932,18933240
11932,23844
11934,25391
11953,2202
11955,10410626
11959,17741
11968,34634
11968,23996
11973,34776
11974,12150
11982,16179
11986,15573
12000,34847
12010,148688
12024,10489
12028,34568
12032,12229
12059,52136
12061,21581
12063,19004
12067,67393
12076,7701
12082,19291
12099,34568
12099,43822
12102,6882
12104,98025
12108,26964606
12108,62450
12108,29789
12117,34613
12118,12120
12122,12815
12129,35738
12133,57360
12157,34761
12168,9230
12176,12178
12181,26667
12187,4764461
12204,38079
12209,34602
12216,11867
12224,28146
12230,34548
12233,13530298
12240,4115
12240,19716
12240,169942
12241,60015
12242,48900
12242,21272
12246,9457
12255,9222
12262,37754
12266,19555
12274,54006
12283,25475
12293,33554
12307,34773
12323,5739
12326,41600
12333,10374
12336,35003
12341,19038
12354,48404
12372,21197
12385,7955
12388,4292
12395,21350772
12398,7294
12406,35018
12408,26994
12430,15309
12436,61762
12441,34676
12441,42399
12441,31769
12446,27850
12457,23417070
12463,5778
12469,19872429
12472,25458
12480,24473
12487,229914
12492,21702
12499,9316
12505,43127
12514,17982
12523,144460
12534,21289
12542,34658
12545,39747
12557,3408
12561,179375
12569,8645
12570,7878457
12578,1491
12582,1910
12584,18704
12598,12229
12609,13059
12620,4737
12627,35672
12629,175607
12635,18735870
12638,34648
12646,1261
12651,35871
12663,182583
12667,30344
12679,25532
12684,13575603
12691,22131
12696,55212
12706,34659
12711,21347364
12718,50847
12720,92357
12730,17717
12731,26552
12736,68228
12744,59286
12772,24567
12775,13467
12781,18831
12787,18836
12799,34035
12806,1523
12810,34606
12821,8637
12833,15303
12838,6130
12859,5820
12867,18592743
12875,78454
12878,34967
12888,34549
12893,23914
12905,126749
12914,800
12926,57070
12945,11846
12955,22939
12958,17867
12963,8912
12967,23982
12972,10192
12980,266590
12988,32544
12994,13088
12997,15787
13011,47911
13017,4011
13019,11884
13022,141709
13027,34726
13033,11039790
13038,9020
13042,32917
13045,39127
13052,34198
13058,44101
13066,5278
13070,13547
13076,4484
13077,28235
13088,19053
13109,177901
13120,34612
13126,9251
13137,8233
13145,14532
13150,22918
13156,15786
13171,34760
13192,6010
13208,13207
13210,34837
13210,19323
13212,34622
13212,6591
13212,13772
13212,34076091
13224,34666
13224,10597
13224,31717
13225,28745
13255,904
13255,14283
13255,59715
13256,59079
13256,38964
13257,58256
13270,47548
13275,34548
13275,22936
13277,34594
13279,11119
13279,4764461
13289,771
13289,69343
13289,33557
13297,34967
13299,1299
13299,14914
13305,34654
13306,22278
13312,25412
13316,1417
13316,8204
13316,16025
13316,15874
13316,20209
13316,21631
13316,22436
13371,34712
13371,3434750
13375,13373
13394,6121
13400,5375
13404,37570
13408,34548
13416,13270
13434,22915
13439,34756
13439,15660
13445,9426
13447,28202
13452,51992830
13456,51255
13459,34651
13460,8081
13462,14545
13466,70987
13466,26826
13470,39393
13478,10831
13483,19681430
13485,35469
13485,90444
13486,77973
13509,35078
13525,35369
13525,30570
13531,34605
13531,26847
13533,27905
13540,25664190
13543,174967
13547,14233
13550,27069
13555,11884
13564,12396
13574,22197
13580,35018
13588,19230789
13588,23704
13595,86740
13600,1962
13600,24714
13605,21175
13609,8263
13616,34637
13617,34695
13617,68736
13617,8161655
13623,645042
13627,15787
13631,22326
13635,29523
13636,45146
13636,30011
13637,148721
13644,26787
13654,9649
13660,30450
13678,5407
13682,5188
13684,22989
13692,62422
13694,18890
13700,4231582
13711,25073
13722,14533
13734,27127
13753,14958
13758,34653
13758,13452
13758,30001
13765,34630
13765,37341
13772,34633
13772,21748
13776,3717
13790,41961
13801,34837
13801,20587
13804,6792879
13806,14580
13808,34847
13808,15820
13808,350939
13812,34726
13813,35841
13813,24217897
13815,1695
13815,67230
13815,82822
13821,21272
13824,166126
13828,31756
13839,13869
13849,4764461
13854,35097
13854,34669
13854,2462183
13854,19039354
13859,13530298
13862,12706
13869,73453
13869,152438
13873,308
13876,62659
13876,17423
13883,24997717
13890,18948337
13890,19541
13895,34648
13902,61086
13911,151336
13914,34755
13914,34147
13930,25969
13955,4764461
13961,4913064
13969,21798
13972,29265
13978,28296
13982,31045316
13990,24245
13998,93545
14002,65847
14011,863
14018,25473
14021,38579
14022,174686
14033,34776
14045,34612
14045,63740
14059,16011
14067,35837
14084,29252
14092,36126
14094,53273
14097,50521
14099,3354
14099,12240
14099,23476997
14099,30139
14107,3434750
14114,35517
14117,1370
14117,16043
14117,28632
14128,14533
14133,9940234
14147,11180
14153,48227
14158,34749
14158,20518076
14169,8216
14171,23001
14186,39488
14186,22545
14187,19679
14193,176649
14197,18435
14201,34679
14206,6443
14210,53292
14225,25321
14229,64993
14236,21241
14245,22446
14251,15878
14269,4781
14280,34754
14285,569
14285,46426065
14288,22218
14292,19137
14298,35816
14308,1011
14312,9906294
14317,34604
14317,27918
14321,34751
14326,34631
14327,21574
14332,87673
14337,25439126
14356,34684
14360,10111
14363,10342
14372,24253
14378,42780
14381,25202
14388,85124
14392,38018
14406,11867
14410,85211
14411,17384301
14429,5042765
14436,166695
14446,3873
14457,4913064
14467,9316
14523,20431
14531,64578
14532,627
14532,14699
14532,6226
14532,30359
14533,5405
14533,39388
14539,34761
14541,14848
